dbn,school_name,Borough,grade_span,Latitude,Longitude,Total.Tested_Common.Core.Algebra,Mean.Score_Common.Core.Algebra,Percent.Students.Took.The.Test.For.CCAlgebra,Total.Tested_Common.Core.Algebra2,Mean.Score_Common.Core.Algebra2,Percent.Students.Took.The.Test.For.CCAlgebra2,Total.Tested_Common.Core.Geometry,Mean.Score_Common.Core.Geometry,Percent.Students.Took.The.Test.For.CCGeometry,Total.Tested_Living.Environment,Mean.Score_Living.Environment,Percent.Students.Took.The.Test.For.LE,Total.Tested_Physical.Settings.Earth.Science,Mean.Score_Physical.Settings.Earth.Science,Percent.Students.Took.The.Test.For.ES,Total.Tested_Physical.Settings.Chemistry,Mean.Score_Physical.Settings.Chemistry,Percent.Students.Took.The.Test.For.Chemistry,Total.Tested_Physical.Settings.Physics,Mean.Score_Physical.Settings.Physics,Percent.Students.Took.The.Test.For.Physics,Mbps.Bandwidth,Full.Time.Certified.STEM.Teachers,Part.Time.Certified.STEM.Teachers,Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students,Number.of.CS.Courses,Number.of.AP.CS.Courses,number.of.Full.CS.Courses,number.of.Partial.CS.Courses,Total.Teacher.Response.Rate,Percent.of.STEMTeachers.That.Agree.With.17a,Percent.of.STEMTeachers.That.Agree.With.17b,Percent.of.STEMTeachers.That.Agree.With.17c,K.12.Enrollment_2017.18,K.12.FRPL.Count_2017.18,Classroom.Teachers.w..0.3.Years.Experience_2017.18,Classroom.Teachers.w..More.than.3.Years.Experience_2017.18,Classroom.Teachers_2017.18,Total.School.Funding.per.Pupil_2017.18,School_Type,Percent.Poverty,STEM_AP_Courses_Offered,club_number
13K605,George Westinghouse Career and Technical Education High School,BROOKLYN ,9 to 12,40.694926,-73.986015,308,62.8,0.407407407,63,56.2,0.083333333,161,55.2,0.212962963,314,58.2,0.415343915,NA,NA,NA,49,57.1,0.064814815,11,61.2,0.014550265,100,14,0,0.018518519,1,1,1,0,0.87,0.73,0.73,0.82,756,603,16,36,4950536,23711.98,High School,0.808,2,1
13K670,Benjamin Banneker Academy,BROOKLYN ,9 to 12,40.695332,-73.969243,406,68.9,0.481042654,137,65.1,0.162322275,261,59.4,0.309241706,205,67.8,0.242890995,207,66.1,0.245260664,4,NA,0.004739336,36,57.3,0.042654028,100,13,0,0.015402844,NA,NA,NA,NA,0.52,0.83,0.8,1,844,573,7,37,4469632,19045.07,High School,0.698,4,2
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",BROOKLYN ,9 to 12,40.694926,-73.986015,106,58.9,0.241457859,67,50.6,0.15261959,103,55.9,0.234624146,112,64.6,0.255125285,102,67.6,0.232346241,3,NA,0.006833713,NA,NA,NA,100,8,0,0.018223235,NA,NA,NA,NA,0.69,NA,NA,NA,439,338,9,21,2504504,21418.54,High School,0.779,0,2
14K071,Juan Morel Campos Secondary School,BROOKLYN ,6 to 12,40.703624,-73.953146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,11,0,0.020599251,3,0,2,1,0.99,1,0.83,0.92,534,465,12,52,5008010,33640.82,High School,0.882,0,1
14K449,"Brooklyn Latin School, The",BROOKLYN ,9 to 12,40.709941,-73.943641,53,87.9,0.078171091,158,83.6,0.233038348,158,81.2,0.233038348,79,88.8,0.116519174,NA,NA,NA,162,73.1,0.238938053,NA,NA,NA,200,14,0,0.020648968,NA,NA,NA,NA,0.87,0.92,0.83,0.92,678,418,4,40,3054021,18192.64,High School,0.633,0,0
14K454,"Williamsburg High School of Arts and Technology, The",BROOKLYN ,9 to 12,40.709941,-73.943641,150,60.9,0.557620818,NA,NA,NA,NA,NA,NA,119,59.5,0.442379182,56,57.7,0.208178439,NA,NA,NA,NA,NA,NA,200,7,0,0.026022305,4,0,2,2,0.58,NA,NA,NA,269,211,4,20,2146298,26427.39,High School,0.803,1,NA
14K474,PROGRESS High School for Professional Careers,BROOKLYN ,9 to 12,40.712184,-73.939722,356,61.3,NA,46,51.8,NA,2,NA,NA,290,64.9,NA,83,52.7,NA,14,54.1,NA,NA,NA,NA,200,12,0,0.015665796,1,1,1,0,0.84,1,1,1,NA,NA,NA,NA,NA,NA,High School,0.896,1,1
14K477,East Williamsburg Scholars Academy,BROOKLYN ,9 to 12,40.712184,-73.939722,135,56.2,0.402985075,19,57.4,0.056716418,22,47.3,0.065671642,142,54.4,0.423880597,46,49.2,0.137313433,NA,NA,NA,NA,NA,NA,200,8,0,0.023880597,1,1,1,0,0.75,1,1,1,335,310,1,26,1986292,26684.98,High School,0.943,1,0
14K478,"The High School for Enterprise, Business and Technology",BROOKLYN ,9 to 12,40.712184,-73.939722,263,56.8,0.301605505,34,63.4,0.038990826,266,55.7,0.305045872,267,64.7,0.306192661,119,58.2,0.13646789,81,56.6,0.092889908,6,49.3,0.006880734,200,17,0,0.019495413,1,1,1,0,0.68,0.82,0.91,0.91,872,700,8,46,5027130,21545.07,High School,0.811,4,1
14K488,Brooklyn Preparatory High School,BROOKLYN ,9 to 12,40.715073,-73.954754,192,61,0.375,NA,NA,NA,1,NA,0.001953125,119,75.1,0.232421875,10,51.9,0.01953125,NA,NA,NA,NA,NA,NA,100,8,0,0.015625,NA,NA,NA,NA,0.71,1,0.83,1,512,446,9,26,2650435,20610.8,High School,0.875,2,0
14K558,Williamsburg High School for Architecture and Design,BROOKLYN ,9 to 12,40.715073,-73.954754,165,71.6,0.291519435,182,63.9,0.32155477,19,56.3,0.033568905,158,73.6,0.279151943,187,70.7,0.330388693,3,NA,0.005300353,NA,NA,NA,100,9,0,0.01590106,NA,NA,NA,NA,NA,NA,NA,NA,566,475,4,31,2918952,21906.43,High School,0.845,1,0
