"","dbn","School.Name","Borough","gradespan","Latitude","Longitude","Number.Tested","Mean.Scale.Math.Score","%Level1","%Level2","%Level3","%Level4","%Level3&4","Mbps.Bandwidth","Full.Time.Certified.STEM.Teachers","Part.Time.Certified.STEM.Teachers","Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students","Total.Teacher.Response.Rate","Percent.of.STEMTeachers.That.Agree.With.17a","Percent.of.STEMTeachers.That.Agree.With.17b","Percent.of.STEMTeachers.That.Agree.With.17c","Percent.Poverty","K.12.Enrollment","K.12.FRPL.Count","Classroom.Teachers.w..0.3.Years.Experience","Classroom.Teachers.w..More.than.3.Years.Experience","Classroom.Teachers","Total.School.Funding.per.Pupil","Salary.Per.Classroom.Teacher"
"478","13K305","P.S. 305 Dr. Peter Ray","BROOKLYN","PK-5",40.685653,-73.94573,67,590,41.8,25.4,23.9,9,32.8,50,0,0,0,"38%",NA,NA,NA,0.95,132,128,1,11.7,1275794,32277.13,100456.220472441
"479","13K307","P.S. 307 Daniel Hale Williams","BROOKLYN","PK-5",40.701789,-73.981599,133,591,45.1,24.8,24.1,6,30.1,100,0,0,0,"48%",NA,NA,NA,0.792,323,267,10,35,3747835,32375.87,83285.2222222222
"480","13K313","The Dock Street School","BROOKLYN "," 6-8",40.703106,-73.992549,170,603,22.9,27.6,30.6,18.8,49.4,10,5,0,0.0251256281407035,"50%",NA,NA,NA,0.729,199,144,6.5,13,1930887,24935.52,99019.8461538462
"481","13K351","Urban Assembly Unison School","BROOKLYN "," 6-8",40.68505,-73.960659,139,588,61.9,20.9,10.1,7.2,17.3,100,4,0,0.0268456375838926,"94%",1,0.83,0.83,0.899,149,133,0,16,1418004,28393.54,88625.25
"482","13K492","Academy of Arts and Letters","BROOKLYN "," K-8",40.690765,-73.971376,183,607,10.4,26.2,36.6,26.8,63.4,100,4,0,0.00770712909441233,"94%",NA,NA,NA,0.306,519,155,8,26.2,2923683,19780.57,85487.8070175438
"483","13K527","Urban Assembly Institute of Math and Science for Young Women (M.S. 527)","BROOKLYN "," 6-12",40.694682,-73.988853,152,597,36.2,32.9,23.7,7.2,30.9,40,10,0,0.0208333333333333,"100%",1,0.8,0.9,0.858,480,407,14,23,2987336,20222.82,80738.8108108108
"484","13K691","Fort Greene Preparatory Academy","BROOKLYN "," 6-8",40.694633,-73.971165,199,587,59.3,28.6,9.5,2.5,12.1,20,3,0,0.0149253731343284,"100%",0.88,1,1,0.905,201,182,10,12,1714240,29737.17,77920
"485","14K016","P.S. 016 Leonard Dunkly","BROOKLYN","PK-5",40.706069,-73.962049,88,588,50,26.1,20.5,3.4,23.9,10,0,0,0,"100%",NA,NA,NA,0.924,211,192,4.2,15,1652986,30148.16,86093.0208333333
"486","14K017","P.S. 017 Henry D. Woodworth","BROOKLYN","PK-5",40.715268,-73.9573,115,600,23.5,27.8,26.1,22.6,48.7,50,0,0,0,"81%",NA,NA,NA,0.709,253,173,7,25,2615219,30325.64,81725.59375
"487","14K018","P.S. 018 Edward Bush","BROOKLYN","PK-5",40.71088,-73.946695,64,590,43.8,26.6,25,4.7,29.7,50,0,0,0,"74%",NA,NA,NA,0.882,160,144,8,11,1654560,27840.13,87082.1052631579
"488","14K023","P.S. 023 Carter G. Woodson","BROOKLYN","PK-5",40.69447,-73.947256,95,594,42.1,22.1,25.3,10.5,35.8,10,0,0,0,"93%",NA,NA,NA,0.906,259,233,4,25,2359405,27957.95,81358.7931034483
"489","14K031","P.S. 031 Samuel F. Dupont","BROOKLYN","PK-5",40.72697,-73.954139,194,612,7.2,20.6,30.9,41.2,72.2,100,0,0,0,"78%",0.88,0.88,0.88,0.725,508,382,6.9,35,3802590,21628.99,90753.937947494
"490","14K034","P.S. 034 Oliver H. Perry","BROOKLYN","PK-5",40.726378,-73.949756,178,607,11.8,22.5,36,29.8,65.7,10,0,1,0,"91%",NA,NA,NA,0.29,447,132,6.4,27,2944936,21744.56,88171.7365269461
"491","14K050","John D. Wells (M.S. 50)","BROOKLYN "," 6-8",40.711704,-73.960275,233,595,41.2,33.5,16.7,8.6,25.3,100,5,0,0.0173010380622837,"96%",0.89,0.89,0.89,0.9,289,257,6,21,2546141,27382.39,94301.5185185185
"492","14K059","P.S. 059 William Floyd","BROOKLYN","PK-5",40.697619,-73.943279,131,592,40.5,27.5,23.7,8.4,32.1,50,0,0,0,"100%",0.8,1,0.8,0.95,283,266,9,18,2402406,27099.27,88978
"493","14K071","Juan Morel Campos Secondary School","BROOKLYN "," 6-12",40.703624,-73.953146,152,592,40.8,38.8,15.1,5.3,20.4,100,11,0,0.0205992509363296,"99%",1,0.83,0.92,0.882,534,465,12,52,5008010,33640.82,78250.15625
"494","14K084","Jose de Diego Magnet School of Visual Arts and Sciences (P.S./M.S. 84)","BROOKLYN "," PK-8",40.714785,-73.963,429,596,33.3,32.4,22.6,11.7,34.3,100,1,0,0.00126103404791929,"92%",1,1,1,0.485,724,360,21,63,6803094,26892.08,80989.2142857143
"495","14K110","P.S. 110 The Monitor","BROOKLYN","PK-5",40.723743,-73.941926,161,601,18.6,28,33.5,19.9,53.4,10,0,0,0,"100%",1,1,1,0.273,437,123,7.7,28,3056585,19308.57,85618.6274509804
"496","14K120","P.S. 120 Carlos Tapia","BROOKLYN","PK-5",40.700819,-73.937888,155,597,30.3,27.7,24.5,17.4,41.9,10,0,0,0,"100%",NA,NA,NA,0.882,369,325,8,24,2522234,24664.44,78819.8125
